X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
32,84.87882,10,24.98298,121.54024
19.5,306.5947,9,24.98034,121.53951
13.3,561.9845,5,24.98746,121.54391
13.3,561.9845,5,24.98746,121.54391
5,390.5684,5,24.97937,121.54245
7.1,2175.03,3,24.96305,121.51254
34.5,623.4731,7,24.97933,121.53642
20.3,287.6025,6,24.98042,121.54228
31.7,5512.038,1,24.95095,121.48458
17.9,1783.18,3,24.96731,121.51486
34.8,405.2134,1,24.97349,121.53372
6.3,90.45606,9,24.97433,121.5431
13,492.2313,5,24.96515,121.53737
20.4,2469.645,4,24.96108,121.51046
13.2,1164.838,4,24.99156,121.53406
35.7,579.2083,2,24.9824,121.54619
0,292.9978,6,24.97744,121.54458
17.7,350.8515,1,24.97544,121.53119
16.9,368.1363,8,24.9675,121.54451
1.5,23.38284,7,24.96772,121.54102
4.5,2275.877,3,24.96314,121.51151
10.5,279.1726,7,24.97528,121.54541